Latitude,Longitude,Monitoring Period,Water Temperature (C),Chlorophyll,Turbidity (FTU),Precipitation
51.5352,3.9374,0.0,8.798064130434783,2.0818380452606635,2.468238686619718,752.0
51.5352,3.9374,1.0,11.87217508152174,2.608764371951735,2.5196420249513887,780.0
51.5352,3.9374,2.0,16.682196163043475,2.076825246416667,3.1539965754761905,1406.0
51.5352,3.9374,3.0,19.55384845652173,2.54011475288843,2.006872190311892,558.0
51.5352,3.9374,4.0,21.428988478260862,3.670266986719066,3.284975665756945,470.0
51.5352,3.9374,5.0,21.43823793478261,2.985752962550144,2.039642495296251,4928.0
51.5352,3.9374,6.0,17.085120032608692,3.019164452451465,2.290568801857506,1122.0
51.55148,3.94803,0.0,8.79444182857143,2.6933847885563376,2.879297482692308,752.0
51.55148,3.94803,1.0,11.865701253571428,3.11482937980528,2.971269476731265,780.0
51.55148,3.94803,2.0,16.669057107142855,2.4952300408262067,3.5204106373761905,1406.0
51.55148,3.94803,3.0,19.548692678571427,2.089131098638889,2.038166464596377,558.0
51.55148,3.94803,4.0,21.42383502142857,3.675146430055789,3.531012644264148,470.0
51.55148,3.94803,5.0,21.435199300000004,3.02603244364486,2.0683252006428656,4928.0
51.55148,3.94803,6.0,17.09514959285714,4.50383472858125,3.351062980308233,1122.0
51.56427,3.9762,0.0,8.802150759493673,2.5692633636936937,2.6073788006332457,752.0
51.56427,3.9762,1.0,11.88277974050633,2.969135501591195,2.748335652276489,780.0
51.56427,3.9762,2.0,16.69071566455696,2.308239036011301,3.241854287083333,1406.0
51.56427,3.9762,3.0,19.56277837974684,1.9005133818563829,1.848509876170168,558.0
51.56427,3.9762,4.0,21.43756898101266,3.553764108186161,3.19743390270794,470.0
51.56427,3.9762,5.0,21.42280989873418,2.6508001710363294,1.9672028522101368,4928.0
51.56427,3.9762,6.0,17.10049984177215,3.59741271713094,2.5326380359802334,1122.0
51.608,3.822,0.0,8.573493698412697,0.7853102033171429,2.48191163286076,752.0
51.608,3.822,1.0,11.5267223015873,1.9958179229581583,2.5075368276168204,780.0
51.608,3.822,2.0,16.082269908730154,1.9785381810037648,2.7825358967925755,1406.0
51.608,3.822,3.0,18.99747535714286,1.5577755266,1.9167636870813405,558.0
51.608,3.822,4.0,21.10116661111111,1.936640211125538,2.194057940088309,470.0
51.608,3.822,5.0,21.34561995238096,2.098579901757493,2.708990560154402,4928.0
51.608,3.822,6.0,17.161333666666664,1.836733274712916,4.024640794023206,1122.0
51.62133,4.08528,0.0,8.813831849056603,3.631869805,0.9025829034615384,752.0
51.62133,4.08528,1.0,11.859952891509437,3.953591855227273,1.4289597520706483,780.0
51.62133,4.08528,2.0,16.76184943396226,3.4482157787653565,1.802377545705384,1406.0
51.62133,4.08528,3.0,19.56893323584906,4.777635055200935,1.6459212213636365,558.0
51.62133,4.08528,4.0,21.453366896226413,4.377963530439585,2.1894290742331286,470.0
51.62133,4.08528,5.0,21.39220905660377,4.367216417638889,1.9154924138559448,4928.0
51.62133,4.08528,6.0,17.18830049056604,7.0217772619104935,1.293181241079948,1122.0
51.62522,4.05562,0.0,8.78761225,2.020479146842105,1.1350591631578948,752.0
51.62522,4.05562,1.0,11.824242496527775,2.9146400119097224,1.4451821023563216,780.0
51.62522,4.05562,2.0,16.675076770833336,2.199158898035714,2.495139102395833,1406.0
51.62522,4.05562,3.0,19.51802023611111,2.381741350863821,1.6246121595134575,558.0
51.62522,4.05562,4.0,21.415874506944444,3.543415427724137,1.8212382537654324,470.0
51.62522,4.05562,5.0,21.402931416666668,3.623909814666667,1.9517579733333337,4928.0
51.62522,4.05562,6.0,17.18867245138889,3.798344809155503,1.398524707236842,1122.0
51.62722,3.9323,0.0,8.676810975,0.8521568735775861,1.7437000754727796,752.0
51.62722,3.9323,1.0,11.671440484999998,2.513682862400715,2.0834159678992394,780.0
51.62722,3.9323,2.0,16.341176689999998,1.6773075692120551,2.876529517115385,1406.0
51.62722,3.9323,3.0,19.261749795,1.3456917106666666,1.4912923156564737,558.0
51.62722,3.9323,4.0,21.25601617,2.272668546058588,2.073056805133033,470.0
51.62722,3.9323,5.0,21.374841320000005,2.2301822,1.8275390212835985,4928.0
51.62722,3.9323,6.0,17.176924794999998,1.9049949400413173,2.8201253837103013,1122.0
51.62803,3.77248,0.0,8.51135026966292,1.2999599139176758,3.388670442152778,752.0
51.62803,3.77248,1.0,11.404871168539326,2.4476554126190475,3.345778576076389,780.0
51.62803,3.77248,2.0,15.917702578651683,2.110495572148362,3.702315504240095,1406.0
51.62803,3.77248,3.0,18.794077915730337,1.9077556203705104,2.355614895344405,558.0
51.62803,3.77248,4.0,21.005084213483144,2.2574615935812385,2.4015896247720567,470.0
51.62803,3.77248,5.0,21.26170895505618,2.171857368684211,2.5977385373001844,4928.0
51.62803,3.77248,6.0,17.17164021910112,2.395597979696153,5.305946177169773,1122.0
51.63647,3.74632,0.0,8.483437450495051,1.475227409190608,3.9134987098933336,752.0
51.63647,3.74632,1.0,11.34638224009901,2.503336006965202,3.631732905007093,780.0
51.63647,3.74632,2.0,15.839579658415843,2.5292255621153847,3.71646132206654,1406.0
51.63647,3.74632,3.0,18.707148173267328,2.0349345316704524,2.553141980609497,558.0
51.63647,3.74632,4.0,20.943954816831685,2.307762198043478,2.30933354978624,470.0
51.63647,3.74632,5.0,21.2297234059406,2.2293319747058824,2.562022269198674,4928.0
51.63647,3.74632,6.0,17.17623311881188,2.527150773716931,5.1743824540322585,1122.0
51.64883,3.8421,0.0,8.554650669902912,0.9927641786472148,2.1845184656387664,752.0
51.64883,3.8421,1.0,11.510816135922331,2.295930287802176,2.6875271251498223,780.0
51.64883,3.8421,2.0,16.023533844660193,2.416535922527016,3.360236369079976,1406.0
51.64883,3.8421,3.0,18.94754772815534,1.6963910646558775,2.165513818360543,558.0
51.64883,3.8421,4.0,21.08184525728156,2.169520550502882,2.4367372334194908,470.0
51.64883,3.8421,5.0,21.26990270873786,2.06905601525641,2.565006737578493,4928.0
51.64883,3.8421,6.0,17.199640597087374,1.8927177734559115,4.206588319186975,1122.0
51.66852,3.73505,0.0,8.440163010204081,2.1733651,3.4951998132061064,752.0
51.66852,3.73505,1.0,11.282347285714284,3.2816652216294733,3.682252203202254,780.0
51.66852,3.73505,2.0,15.721975390306124,3.0729132916666666,3.812791962003828,1406.0
51.66852,3.73505,3.0,18.59355617857143,1.97566303096875,2.6907176807248985,558.0
51.66852,3.73505,4.0,20.849356530612248,2.935716235489372,2.7815804855454545,470.0
51.66852,3.73505,5.0,21.119643438775512,2.38133336,3.2872913840896354,4928.0
51.66852,3.73505,6.0,16.205276081632654,3.4490323,5.331862115178572,1122.0
53.00389,5.05976,0.0,8.650390733333333,5.57074009583483,8.402708728456014,350.0
53.00389,5.05976,1.0,9.748237607142856,8.613723247123655,10.21846076299455,1564.0
53.00389,5.05976,2.0,15.880542521428572,8.627088989292034,9.85640251909091,1220.0
53.00389,5.05976,3.0,19.11051383809524,7.96790023353128,9.207598396311306,1184.0
53.00389,5.05976,4.0,19.035224785714284,8.903185080019119,12.412176645896803,1087.0
53.00389,5.05976,5.0,17.96005171428571,10.1570517458125,11.04795746898067,265.0
53.00389,5.05976,6.0,15.932220480952385,9.9443669405498,10.62676549924155,1133.0
53.07967,5.1659,0.0,8.602177616822429,4.316332669141324,6.924802657871199,350.0
53.07967,5.1659,1.0,9.795855771028036,7.957801009611788,12.19475481040253,1564.0
53.07967,5.1659,2.0,15.90848546728972,8.12186070579483,10.266141151071428,1220.0
53.07967,5.1659,3.0,18.95888994392524,10.094845305859394,13.711319644309626,1184.0
53.07967,5.1659,4.0,18.962150210280377,8.908152091801716,11.996613668541467,1087.0
53.07967,5.1659,5.0,17.874253009345793,11.186346193274854,11.467513508751336,265.0
53.07967,5.1659,6.0,15.970551658878506,5.285478884870987,6.188147939117739,1133.0
53.08042,4.90075,0.0,8.222251454205606,5.135048137717908,6.302569571855346,350.0
53.08042,4.90075,1.0,9.457972427570096,6.073243179263766,4.77835342617978,1564.0
53.08042,4.90075,2.0,15.3639996682243,5.653778566343434,7.518569000732793,1220.0
53.08042,4.90075,3.0,18.570271392523363,5.004075812590673,7.840609285021978,1184.0
53.08042,4.90075,4.0,18.899579710280378,7.773012824242423,7.895786336,1087.0
53.08042,4.90075,5.0,17.96074237850467,5.408998244859814,7.457007441121496,265.0
53.08042,4.90075,6.0,16.02899978037383,2.9617294782544024,3.696575509248442,1133.0
53.22428,5.19757,0.0,8.40017158095238,7.633217048778281,10.66680607846154,350.0
53.22428,5.19757,1.0,9.579053804761903,8.893723420462088,14.475003431749784,1564.0
53.22428,5.19757,2.0,13.717762199999996,7.90383113314866,11.062234195724908,1220.0
53.22428,5.19757,3.0,18.474068257142854,9.4700711707124,14.076146514743588,1184.0
53.22428,5.19757,4.0,18.8492228,10.185356785458612,16.102559901137983,1087.0
53.22428,5.19757,5.0,17.862047271428573,8.496582150902183,13.617605763924052,265.0
53.22428,5.19757,6.0,15.80340905238095,7.52145145052099,10.3729575913539,1133.0
53.3206,5.30135,0.0,8.315635621495328,7.261939002582369,11.176642150533809,350.0
53.3206,5.30135,1.0,9.355720607476636,6.368073857806387,10.842256743052808,1564.0
53.3206,5.30135,2.0,13.559391995327102,8.09857495651515,9.951468157242584,1220.0
53.3206,5.30135,3.0,18.065767364485986,9.681397328060344,13.01036129295977,1184.0
53.3206,5.30135,4.0,18.73399980373832,9.12414052181818,13.880629936363638,1087.0
53.3206,5.30135,5.0,17.84924296261682,9.614391861007354,11.59260034664723,265.0
53.3206,5.30135,6.0,15.846804317757009,4.294930155275974,7.863106137415622,1133.0
53.34385,5.44887,0.0,8.215283655660375,8.600968297429079,14.46984548225377,350.0
53.34385,5.44887,1.0,9.4290525495283,10.188362232023044,18.172020919276733,1564.0
53.34385,5.44887,2.0,13.23866137264151,12.200157527433626,18.716705435478104,1220.0
53.34385,5.44887,3.0,18.032132518867925,13.263446660254084,21.920481642990648,1184.0
53.34385,5.44887,4.0,18.894905839622645,11.624875675,16.81832598875576,1087.0
53.34385,5.44887,5.0,17.90154225,9.849976465231316,14.639796103914588,265.0
53.34385,5.44887,6.0,15.813436849056602,8.046062851982004,11.80567985111864,1133.0
53.35213,5.30127,0.0,8.205768402777778,5.833953445433672,9.912561290440252,350.0
53.35213,5.30127,1.0,9.209370875,6.307060667524828,10.448627520441455,1564.0
53.35213,5.30127,2.0,13.408472027777778,6.543306307857143,10.258840456144307,1220.0
53.35213,5.30127,3.0,17.830249574074074,8.617962767464174,13.840578930590718,1184.0
53.35213,5.30127,4.0,18.701967680555555,7.807491940604395,12.751669800982317,1087.0
53.35213,5.30127,5.0,17.874254638888893,7.628743878784267,12.2001334688326,265.0
53.35213,5.30127,6.0,15.879073787037036,4.294930155275974,7.860956834742405,1133.0
53.35347,5.26723,0.0,8.198198468867925,6.348550124624626,10.525841329359164,350.0
53.35347,5.26723,1.0,9.170514693396226,6.303518039752252,11.422283384951516,1564.0
53.35347,5.26723,2.0,13.37246220754717,6.6023314778947375,10.331260612581913,1220.0
53.35347,5.26723,3.0,17.7663963490566,6.98397447515732,10.516334582142855,1184.0
53.35347,5.26723,4.0,18.68809398113208,8.171996104166666,12.241574344761904,1087.0
53.35347,5.26723,5.0,17.88298136792453,7.614486726170798,12.747783308628842,265.0
53.35347,5.26723,6.0,15.889736018867923,3.390368756685082,7.160936466971403,1133.0
53.3571,5.25458,0.0,8.170375659615384,6.47766972755102,10.83214111505922,350.0
53.3571,5.25458,1.0,9.121952504807693,6.049302713708425,11.41141962906918,1564.0
53.3571,5.25458,2.0,13.352634903846155,6.973876210188679,10.9070597563253,1220.0
53.3571,5.25458,3.0,17.68335507692308,6.937759899731012,10.516334582142855,1184.0
53.3571,5.25458,4.0,18.671062447115386,8.44543866019737,12.01035523355526,1087.0
53.3571,5.25458,5.0,17.9014999375,7.794521645039371,11.698774915555555,265.0
53.3571,5.25458,6.0,15.899000192307692,3.514229485238704,7.373923335921535,1133.0
53.36133,5.33205,0.0,8.165591933333335,4.621845138060288,8.874751561498709,350.0
53.36133,5.33205,1.0,9.181736208333334,6.442592181838815,11.050215134301231,1564.0
53.36133,5.33205,2.0,13.350852314814814,5.789906754639175,8.348281649816178,1220.0
53.36133,5.33205,3.0,17.76176921296296,10.382419294117648,14.499871790106008,1184.0
53.36133,5.33205,4.0,18.681033060185182,8.07293229281746,13.869018268222222,1087.0
53.36133,5.33205,5.0,17.89839389814815,7.881667614105793,10.944538236744185,265.0
53.36133,5.33205,6.0,15.879842916666666,4.781714366942641,8.471776165358378,1133.0
